STUDY_ID	SAMPLE_ID	TIA1	TIAL1	TPX2	BRCA1	BRCA2	TP53	AURKA
brca_tcga_pan_can_atlas_2018	TCGA-A2-A3KC-01	NA	NA	NA	NA	-0.280389086	-1.845242561	NA
brca_tcga_pan_can_atlas_2018	TCGA-A2-A25F-01	NA	NA	NA	NA	-0.316029245	-1.89203843	NA
brca_tcga_pan_can_atlas_2018	TCGA-A2-A25E-01	NA	NA	NA	NA	-0.407258216	-1.62773959	NA
brca_tcga_pan_can_atlas_2018	TCGA-A2-A25D-01	NA	NA	NA	NA	-0.292759247	-1.539681372	NA
brca_tcga_pan_can_atlas_2018	TCGA-A2-A25C-01	NA	NA	NA	NA	-0.398149486	-1.481542052	NA
brca_tcga_pan_can_atlas_2018	TCGA-A2-A25B-01	NA	NA	NA	NA	-0.399888315	-1.920736612	NA
brca_tcga_pan_can_atlas_2018	TCGA-A2-A25A-01	NA	NA	NA	NA	-0.345632369	-1.65456913	NA
brca_tcga_pan_can_atlas_2018	TCGA-A2-A259-01	NA	NA	NA	NA	-0.314863358	-2.387133095	NA
brca_tcga_pan_can_atlas_2018	TCGA-A2-A1G6-01	NA	NA	NA	NA	-0.617834115	-1.735954966	NA
brca_tcga_pan_can_atlas_2018	TCGA-A2-A1G4-01	NA	NA	NA	NA	-0.589269756	-2.009763126	NA
brca_tcga_pan_can_atlas_2018	TCGA-A2-A1G1-01	NA	NA	NA	NA	-0.415715469	-1.409965781	NA
brca_tcga_pan_can_atlas_2018	TCGA-A2-A1G0-01	NA	NA	NA	NA	-0.548665802	-1.618221988	NA
brca_tcga_pan_can_atlas_2018	TCGA-A2-A1FZ-01	NA	NA	NA	NA	-0.462480393	-1.158339722	NA
brca_tcga_pan_can_atlas_2018	TCGA-A2-A1FX-01	NA	NA	NA	NA	-0.674789908	-1.52102747	NA
brca_tcga_pan_can_atlas_2018	TCGA-A2-A1FW-01	NA	NA	NA	NA	-0.100964862	-1.75787556	NA
brca_tcga_pan_can_atlas_2018	TCGA-A2-A1FV-01	NA	NA	NA	NA	-0.185601775	-1.975413037	NA
brca_tcga_pan_can_atlas_2018	TCGA-A2-A0YT-01	NA	NA	NA	NA	-0.473328284	-1.841237788	NA
brca_tcga_pan_can_atlas_2018	TCGA-A2-A0YM-01	NA	NA	NA	NA	-0.42284697	-1.461741823	NA
brca_tcga_pan_can_atlas_2018	TCGA-A2-A0YL-01	NA	NA	NA	NA	-0.639113976	-2.562773094	NA
brca_tcga_pan_can_atlas_2018	TCGA-A2-A0YK-01	NA	NA	NA	NA	-0.105400805	-1.654389639	NA
brca_tcga_pan_can_atlas_2018	TCGA-A2-A0YJ-01	NA	NA	NA	NA	-0.349440839	-1.513607955	NA
brca_tcga_pan_can_atlas_2018	TCGA-A2-A0YI-01	NA	NA	NA	NA	-0.676541147	-3.36144458	NA
brca_tcga_pan_can_atlas_2018	TCGA-A2-A0YH-01	NA	NA	NA	NA	-0.302035488	-1.283596684	NA
brca_tcga_pan_can_atlas_2018	TCGA-A2-A0YG-01	NA	NA	NA	NA	-0.48575427	-1.710550869	NA
brca_tcga_pan_can_atlas_2018	TCGA-A2-A0YF-01	NA	NA	NA	NA	0.167329979	-1.244937867	NA
