STUDY_ID	SAMPLE_ID	TIA1	TIAL1	TPX2	AURKA	BRCA1	BRCA2	TP53
ov_tcga_pan_can_atlas_2018	TCGA-25-1878-01	0.142	0.191	0.114	0.114	0.077	-0.498	0.077
ov_tcga_pan_can_atlas_2018	TCGA-25-1877-01	1.41	0.595	1.96	1.2	0.576	-0.099	-0.296
ov_tcga_pan_can_atlas_2018	TCGA-25-1871-01	0.004	0.034	2.73	0.979	-0.317	0.127	0.123
ov_tcga_pan_can_atlas_2018	TCGA-25-1870-01	0.341	0	0.832	0.857	-0.364	0.335	-0.349
ov_tcga_pan_can_atlas_2018	TCGA-25-1635-01	0.078	-0.444	0.109	0.627	-0.42	-0.421	-0.419
ov_tcga_pan_can_atlas_2018	TCGA-25-1634-01	0.665	0.402	0.428	0.428	-0.005	-0.269	0.38
ov_tcga_pan_can_atlas_2018	TCGA-25-1633-01	0.507	0.062	0.454	1.11	-0.425	-0.425	-0.425
ov_tcga_pan_can_atlas_2018	TCGA-25-1632-01	0.031	-0.42	0.134	0.16	-0.814	-0.415	-0.748
ov_tcga_pan_can_atlas_2018	TCGA-25-1631-01	0.178	-0.435	0.202	1.03	-0.412	-0.433	-0.861
ov_tcga_pan_can_atlas_2018	TCGA-25-1630-01	0.035	-0.046	0.065	0.249	-0.622	-0.005	-0.622
ov_tcga_pan_can_atlas_2018	TCGA-25-1628-01	0.423	-0.001	0.886	0.886	-0.188	-0.229	-0.188
ov_tcga_pan_can_atlas_2018	TCGA-25-1627-01	-0.181	0.049	0.821	0.975	-0.21	-0.433	-0.21
ov_tcga_pan_can_atlas_2018	TCGA-25-1626-01	0.33	0.144	0.496	0.496	-0.098	0.107	-0.098
ov_tcga_pan_can_atlas_2018	TCGA-25-1625-01	0	0.004	-0.022	-0.029	-0.597	-0.005	-0.597
ov_tcga_pan_can_atlas_2018	TCGA-25-1623-01	0.268	0.364	0.237	0.912	-0.049	-0.072	-0.049
ov_tcga_pan_can_atlas_2018	TCGA-25-1329-01	0.316	-0.583	2.25	2.41	-0.044	-0.237	-0.645
ov_tcga_pan_can_atlas_2018	TCGA-25-1328-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-25-1326-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-25-1324-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-25-1323-01	0.642	0.833	1.87	1.76	-0.746	0.779	-0.674
ov_tcga_pan_can_atlas_2018	TCGA-25-1322-01	-0.018	0.004	2.4	0.204	-0.762	1.79	-0.762
ov_tcga_pan_can_atlas_2018	TCGA-25-1321-01	-0.232	0.47	1.48	1.49	-0.198	-0.54	-0.198
ov_tcga_pan_can_atlas_2018	TCGA-25-1320-01	0.092	-0.277	0.587	0.71	-0.435	0.307	0.117
ov_tcga_pan_can_atlas_2018	TCGA-25-1319-01	0.556	-0.015	0.608	0.608	0.499	-0.667	-0.734
ov_tcga_pan_can_atlas_2018	TCGA-25-1318-01	0.255	0.264	0.777	0.913	-0.274	-1	-0.274
ov_tcga_pan_can_atlas_2018	TCGA-25-1317-01	0.64	0.963	1.76	1.76	-0.403	0.142	-0.52
ov_tcga_pan_can_atlas_2018	TCGA-25-1316-01	-0.021	0.066	0.121	0.121	-0.684	0	-0.655
ov_tcga_pan_can_atlas_2018	TCGA-25-1315-01	1.02	0.041	0.015	0.015	-0.948	-1.08	0.01
ov_tcga_pan_can_atlas_2018	TCGA-25-1314-01	0.611	0.018	-0.017	0.117	-0.684	-0.038	-0.684
ov_tcga_pan_can_atlas_2018	TCGA-25-1313-01	0.273	0.347	0.018	1.68	-0.488	-0.543	0.102
ov_tcga_pan_can_atlas_2018	TCGA-25-1312-01	0.652	-0.448	1.47	1.56	-0.767	1.19	-0.554
ov_tcga_pan_can_atlas_2018	TCGA-24-2298-01	0.014	-0.403	0.105	0.14	0.056	0.085	-0.999
ov_tcga_pan_can_atlas_2018	TCGA-24-2297-01	-0.037	-0.899	0.038	0.076	-0.876	-0.024	-0.915
ov_tcga_pan_can_atlas_2018	TCGA-24-2295-01	0.383	-0.025	1.11	1.11	-0.012	-0.519	-0.933
ov_tcga_pan_can_atlas_2018	TCGA-24-2293-01	0.03	0.007	0.222	0.222	-0.216	0.095	0.046
ov_tcga_pan_can_atlas_2018	TCGA-24-2290-01	-0.116	0.066	0.023	0.023	-0.877	-0.932	-0.901
ov_tcga_pan_can_atlas_2018	TCGA-24-2289-01	0.449	-0.002	-0.645	0.648	0.006	-0.02	-0.042
